ProductID,Name,Manufacturer,Pieces,Difficulty,Price,WholesaleCost,Category,ShortDescription,LongDescription
P1001,Luminous Globe 3D Wooden Puzzle,TimberTech Models,180,Medium,$59.99,$28.00,Mechanical,Rotating wooden globe with gears and warm LED lighting for display.,"A beautifully engineered wooden globe featuring a visible gear system that powers smooth rotation. The integrated LED lighting adds a warm ambient glow, making it both a mechanical marvel and a decorative centerpiece for any room."
P1002,Steam Engine Mechanical 3D Wooden Puzzle,Ironwood Creations,320,Hard,$64.99,$31.00,Mechanical,Detailed steam engine model with moving pistons and crankshaft parts.,"This detailed wooden model recreates the power of a vintage steam locomotive with fully visible pistons and crankshaft movement. Designed for advanced builders, it offers a rewarding assembly experience and a striking mechanical display."
P1003,Pendulum Clock Wooden Mechanical Puzzle,Skyline Structures,210,Medium,$54.99,$26.00,Mechanical,Functional wooden clock featuring exposed gears and moving parts.,"A precision-crafted wooden clock that showcases its inner workings through exposed gears. Combining functionality with craftsmanship, this model provides both a practical timepiece and an engaging mechanical build."
P1004,Skyrail Marble Run,TimberTech Models,290,Medium,$49.99,$24.00,Mechanical,Hand-cranked marble run with continuous motion and looping tracks.,An interactive marble run powered by a hand-crank mechanism that continuously cycles marbles through a dynamic track. This model highlights motion and engineering principles while providing an engaging hands-on experience.
P1005,Velocity Racer Car,Ironwood Creations,160,Easy,$39.99,$18.00,Mechanical,Rubber-band powered wooden race car built for speed and simplicity.,"A sleek wooden race car powered by a rubber-band motor, designed for quick assembly and fun performance. Its lightweight structure and smooth motion make it ideal for beginners and younger builders."
P1006,Nordic Dragon Longship,NordicCraft,240,Medium,$59.99,$28.00,Historical,Viking-inspired longship with engraved wooden panels and detail.,"Inspired by traditional Viking longships, this model features intricate engravings and a bold silhouette. It offers a balance of historical design and satisfying construction, resulting in a display-worthy centerpiece."
P1007,Seahaven Barque,NordicCraft,300,Hard,$64.99,$32.00,Nautical,Detailed sailing ship with layered decks and intricate rigging work.,A highly detailed sailing vessel complete with layered decks and intricate rigging. This challenging build rewards patience with a stunning nautical model ideal for collectors and enthusiasts.
P1008, Sailing Ship Model 3D Wooden Puzzle,Ironwood Creations,280,Hard,$69.99,$34.00,Historical,Large wooden warship with multi-deck design and ornate details.,"This grand war galleon features multiple decks, detailed cannons, and ornate woodwork. Designed for experienced builders, it captures the scale and elegance of historic naval vessels."
P1009,Harbor Tugboat,TimberTech Models,150,Easy,$42.99,$20.00,Nautical,Compact tugboat model with simple build and charming design details.,A compact and charming tugboat model that emphasizes simplicity and detail. Its approachable build makes it perfect for beginners while still delivering an attractive finished piece.
P1010,Orbital Explorer Shuttle,Orbital Labs,410,Hard,$74.99,$36.00,Sci-Fi,Futuristic space shuttle with display stand and moving components.,A futuristic shuttle model with a detailed structure and a themed launch stand. This advanced build highlights engineering complexity and is ideal for space and STEM enthusiasts.
P1011,Galactic Rover,Orbital Labs,230,Medium,$57.99,$27.00,Sci-Fi,Mars-style rover model with articulated wheels and rugged frame.,"Designed after planetary exploration vehicles, this rover features articulated wheels and a rugged frame. It offers an engaging build and a dynamic finished model suitable for display."
P1012,Dragonfire Siege Engine,ArcaneWorks,260,Medium,$52.99,$25.00,Fantasy,Medieval-style ballista with working firing mechanism included.,A fantasy-inspired siege engine with a working firing mechanism that launches small projectiles. This model blends mechanical action with imaginative design for a fun and interactive experience.
P1013,Arcane Codex Box,ArcaneWorks,190,Medium,$48.99,$23.00,Fantasy,Puzzle box with hidden locking system and secret compartments inside.,"A mysterious wooden box featuring a hidden locking mechanism that must be solved to open. Combining puzzle-solving with craftsmanship, it serves as both a brain teaser and a functional storage item."
P1014,Grand Windmill Tower,Skyline Structures,220,Medium,$51.99,$24.00,Architecture,Rustic windmill tower with rotating blades and gear-driven motion.,A rustic windmill model featuring rotating blades powered by a simple gear system. Its architectural design and motion elements make it both decorative and mechanically interesting.
P1015,Parisian Clock Tower,Skyline Structures,260,Hard,$58.99,$29.00,Architecture,European-style clock tower with ornate wooden architectural detail.,"An elegant clock tower inspired by classic European architecture, featuring detailed facades and structural elements. This model offers a challenging build with a refined final appearance."
P1016,Skyline Observation Tower,Skyline Structures,200,Medium,$49.99,$23.00,Architecture,Modern observation tower with layered design and structural detail.,"A sleek observation tower with a modern, layered construction style. This model emphasizes symmetry and structure, making it a visually striking addition to any collection."
P1017,Melody Music Box,LumaScenes,140,Easy,$44.99,$21.00,Decorative,Hand-cranked music box with visible internal moving mechanism.,"A decorative music box with a visible internal mechanism that plays a tune when cranked. This simple yet elegant model combines motion, sound, and visual appeal."
P1018,Mechanical Butterfly Display,LumaScenes,120,Easy,$39.99,$18.00,Decorative,Decorative butterfly model with flapping wings powered by motion.,A delicate butterfly model that brings motion to life with flapping wings powered by a simple mechanism. Its lightweight design and artistic style make it an eye-catching display piece.
P1019,Vintage Camera Model,LumaScenes,180,Medium,$46.99,$22.00,Decorative,Retro camera replica with moving lens and mechanical components.,A nostalgic camera replica featuring a movable lens and mechanical components. This model blends vintage aesthetics with interactive features for a unique building experience.
P1020,Illuminated Book Nook Diorama,LumaScenes,220,Medium,$55.99,$26.00,Decorative,Bookshelf insert diorama with lighting and detailed miniature scene.,"A miniature diorama designed to fit between books, complete with built-in lighting and intricate details. This model creates a cozy, immersive scene that enhances any bookshelf display."
